0	 0.569059 1664.484404 0.583938 2058.577874 0.587471 265.711024 0.593166 827.769885 0.593410 2226.210713 0.618295 214095.108657 0.685578 63.713637 0.793562 544.194845 0.798538 221.693358 0.807544 233.175087 0.809596 195.534648
0.005	 0.569036 -10434.786737 0.574850 2422.808170 0.583653 2373.236405 0.587342 267.985282 0.593201 1427.045023 0.593601 1808.355641 0.618430 108262.459601 0.683331 222.084192 0.688337 93.809115 0.788151 285.783894 0.793361 550.531350 0.797776 184.047654 0.807756 232.634186 0.809486 194.030084
0.01	 0.568444 4269.126549 0.574265 2728.609499 0.582842 3255.086121 0.587208 256.303581 0.593240 1431.063051 0.594141 1977.295017 0.618830 45348.057694 0.677550 1422.886690 0.684425 855.402302 0.690912 -2344.256471 0.787587 242.072782 0.792796 569.572347 0.795830 106.298724 0.808345 238.296564 0.809163 184.810051 0.838680 77.181732
0.015	 0.567334 1887.766687 0.573694 2633.731656 0.581605 4170.259191 0.587149 250.657401 0.589616 318.365031 0.593305 1340.742464 0.594844 2245.318155 0.619487 23832.119067 0.674498 580.829030 0.687774 -267.758274 0.791952 576.756119 0.804344 101.593502 0.808650 174.450776 0.809302 246.583230 0.838592 78.213059
0.02	 0.565785 1264.456914 0.573280 3006.646362 0.580062 4565.100305 0.587112 246.285976 0.591514 354.648203 0.593450 1034.603328 0.595587 2595.704470 0.620385 14904.727830 0.670939 1513.621836 0.676223 610.136154 0.684592 977.735358 0.696446 -84.804737 0.786553 75.826658 0.790893 556.849213 0.805518 107.164313 0.808003 149.435073 0.810448 257.955289 0.839442 78.640594
0.025	 0.564205 353.723772 0.573342 2454.287025 0.578307 4565.264395 0.587436 413.397027 0.592898 725.639518 0.596301 3005.337320 0.621504 10377.376203 0.664257 69.497811 0.785417 174.870535 0.789672 529.556319 0.806238 163.422708 0.808576 103.905929 0.811757 267.550048 0.840268 82.205006
0.03	 0.561816 477.987435 0.572951 2580.755607 0.576401 4406.328477 0.587186 244.974559 0.593204 1411.053416 0.596961 3605.269256 0.622818 8046.965144 0.667505 -221.525733 0.685688 1839.531718 0.700046 51.448387 0.784232 98.300672 0.788336 501.239146 0.805507 176.646149 0.809881 106.485713 0.813171 276.921638 0.841378 81.509401
0.035	 0.559472 1106.410760 0.572934 2746.336522 0.574383 4256.712818 0.587203 237.753309 0.593345 1544.720410 0.597556 4245.593418 0.624305 6539.650030 0.662148 132.906490 0.684012 195.174483 0.782190 61.187277 0.786921 477.344638 0.804513 172.752145 0.814667 284.871901 0.842466 84.709307
0.04	 0.557084 1717.447369 0.572280 4116.407652 0.587277 231.328782 0.593462 1582.417679 0.598088 5045.689122 0.601344 1074.705423 0.625938 5559.817494 0.683889 294.705049 0.781828 101.091257 0.785451 457.819663 0.803365 166.059397 0.809525 77.427834 0.816208 293.261870 0.843671 87.036160
0.045	 0.554804 726.465043 0.570109 4069.482842 0.587345 241.353425 0.593580 1592.739648 0.598565 6034.226179 0.603098 416.467237 0.627694 4900.709225 0.653911 933.865295 0.658484 57.786105 0.685365 1120.396754 0.688467 163.103455 0.716363 670.281670 0.777786 106.806629 0.783940 442.032497 0.802120 160.504602 0.817796 299.532823 0.845049 86.193594
0.05	 0.552362 1026.890224 0.567885 4041.254042 0.573049 4034.779368 0.587436 236.425113 0.593705 1603.412572 0.598997 7204.880729 0.605144 265.976431 0.629552 4417.690605 0.690943 129.696924 0.718734 245.261986 0.774726 71.680468 0.782402 428.959128 0.800791 155.401024 0.819415 306.076283 0.846454 88.257486
0.055	 0.549989 705.142517 0.565616 4036.179321 0.587559 238.637126 0.593840 1609.975143 0.599392 8598.047546 0.607611 328.703315 0.631494 4066.689045 0.647098 1028.612309 0.683939 332.986458 0.688125 -114.931189 0.722145 478.403091 0.775056 1012.818503 0.780846 418.034141 0.799401 150.976640 0.821060 311.908845 0.847914 89.256174
0.06	 0.547439 831.946850 0.563309 4051.086515 0.573300 4926.116016 0.587662 239.537510 0.593985 1615.892848 0.599757 10215.505487 0.610844 151.667532 0.633502 3794.258771 0.643631 -573.527310 0.685863 -3813.085751 0.690541 66.543011 0.725688 580.047630 0.772501 83.290832 0.779272 408.761757 0.797971 146.975720 0.822726 317.641949 0.849459 90.711184
0.065	 0.044996 265.981774 0.545013 968.568114 0.560971 4089.188928 0.573448 4897.112315 0.587796 239.026994 0.594141 1623.082095 0.600100 12046.086142 0.611930 -1409.331096 0.635559 3580.545349 0.640338 388.199730 0.643796 171.733382 0.686257 533.422948 0.687179 107.133830 0.728893 751.725624 0.770107 79.580733 0.777689 401.093127 0.796501 143.503455 0.824410 322.755479 0.851027 91.667338
0.07	 0.542704 2844.644949 0.558605 4144.532405 0.587955 233.551011 0.594308 1632.659200 0.600427 14051.079613 0.636702 396.212881 0.637628 1750.101111 0.639576 834.653205 0.683726 -210.166811 0.732055 1131.471286 0.735589 203.420707 0.769163 85.960498 0.776099 394.353779 0.795002 140.577898 0.826106 327.619983 0.852619 92.736262
0.075	 0.539759 867.844778 0.556216 4219.165233 0.573803 3996.851099 0.588106 237.485972 0.594487 1639.766352 0.600743 16153.226709 0.636020 148.735224 0.639860 1470.551192 0.685063 646.397111 0.735403 1189.673090 0.738829 321.155438 0.766237 74.870687 0.774504 388.655984 0.793480 137.898152 0.827816 332.433717 0.854253 93.906500
0.08	 0.054945 -166.858496 0.537343 698.041350 0.553805 4311.386508 0.574003 6112.828708 0.588258 247.454385 0.594678 1646.827649 0.601050 18246.507817 0.630040 677.471161 0.632584 123.359184 0.636311 67.692514 0.642100 1360.735494 0.687529 126.637732 0.738777 1069.008744 0.741121 283.904138 0.765630 92.839606 0.772904 383.588928 0.791938 135.493837 0.829536 337.078740 0.855927 94.944390
0.085	 0.534984 5148.528285 0.551377 4418.085108 0.574238 5975.677687 0.588477 252.944059 0.594880 1659.056765 0.601353 20107.244169 0.624801 -53.126083 0.628630 193.375221 0.644358 1361.532514 0.688518 122.723070 0.742018 998.528779 0.763211 95.260759 0.771303 379.481238 0.790379 133.328772 0.831265 341.479380 0.857620 95.873480
0.09	 0.061668 -184.190599 0.532208 616.323261 0.548932 4540.962008 0.574442 6191.738189 0.588605 251.656956 0.595094 1669.941503 0.601653 21490.513984 0.623179 988.190110 0.626015 71.002523 0.646635 1371.152032 0.687152 523.585598 0.745412 1023.854186 0.747289 252.371962 0.761370 107.176561 0.769702 375.812323 0.788806 131.445906 0.828035 74.897257 0.833003 346.887102 0.859329 97.469990
0.095	 0.065065 -185.628315 0.529680 477.487350 0.546472 4681.803846 0.574683 11810.701251 0.588774 263.347601 0.595319 1682.816169 0.601953 22362.801826 0.619950 539.416530 0.620982 118.828843 0.648927 1399.534720 0.687558 1256.248260 0.690456 60.917070 0.748730 1039.527771 0.750876 232.750620 0.758537 140.757230 0.768098 373.099944 0.787225 129.619040 0.830239 88.997074 0.834748 351.233742 0.861058 98.349494
0.1	 0.543999 4838.285764 0.588955 266.122300 0.595555 1701.239706 0.602253 22503.567935 0.616405 630.384808 0.618058 115.936527 0.651231 1434.304644 0.687749 58568.200895 0.751954 952.528394 0.754839 347.951490 0.766497 371.124656 0.785636 128.134559 0.832491 86.319051 0.836499 355.766180 0.862789 99.626420
0.105	 0.071864 -181.770623 0.524586 385.519274 0.541514 5015.437426 0.575196 29983.523904 0.589119 274.929214 0.595802 1720.277206 0.602553 21968.153561 0.613007 715.351731 0.614657 108.869623 0.653546 1478.323598 0.688278 1524.220380 0.691250 56.839601 0.755317 785.427345 0.757888 313.053829 0.764888 371.497289 0.784040 126.564382 0.834118 98.565840 0.838258 360.084890 0.864555 100.811749
0.11	 0.075290 -247.141972 0.522235 581.925430 0.539017 5210.942631 0.575453 10897.515450 0.589276 265.244299 0.596059 1748.721587 0.602853 20786.875470 0.609588 3628.990221 0.611387 97.750620 0.655870 1527.593540 0.690657 240.286086 0.758582 663.631746 0.761101 246.288152 0.763267 364.273240 0.782447 125.568214 0.840020 363.230666 0.866292 102.081716
0.115	 0.536510 5429.152758 0.575745 -84128.780649 0.589485 296.636367 0.596325 1786.829187 0.603146 19781.796457 0.607774 65.812880 0.658201 1583.726579 0.690750 126.097727 0.761742 1736.847564 0.761890 269.545506 0.780844 123.937322 0.838090 90.166586 0.841791 369.388778 0.868101 103.986044
0.12	 0.517063 412.113172 0.533993 5672.863042 0.576037 26735.738757 0.589595 271.660928 0.596599 1841.337099 0.602742 1458.724682 0.603434 3896.733098 0.605357 155.056039 0.660538 1645.519505 0.692024 131.095321 0.750755 81.509657 0.760243 343.436198 0.764907 651.060442 0.774245 92.125731 0.779213 123.125376 0.839823 107.333300 0.843565 374.009915 0.869889 105.405403
0.125	 0.085505 -291.754835 0.514437 409.349238 0.531468 5941.713152 0.576364 20152.398415 0.589794 273.552288 0.596869 1951.522863 0.602649 138.887945 0.603782 1794.773164 0.662879 1713.336456 0.689844 1581.140995 0.694001 50.680428 0.758608 341.055196 0.768277 608.520983 0.772063 2670.650138 0.777613 120.674243 0.845342 377.493377 0.871677 106.893056
0.13	 0.088894 -198.125041 0.511754 376.208837 0.528933 6241.091072 0.576692 29862.192351 0.589844 297.896896 0.596691 626.099868 0.597107 1121.213294 0.604151 1585.320071 0.665224 1787.791513 0.690379 849.893443 0.691972 104.642326 0.757007 338.138090 0.771957 1274.289216 0.776121 117.531917 0.847125 383.004656 0.873495 109.609923
0.135	 0.092297 -203.468582 0.509160 356.577933 0.526391 6575.139475 0.577045 -46621.928645 0.589794 341.110950 0.597447 1096.986306 0.604543 1351.252081 0.667570 1869.539269 0.690757 1450.557738 0.694211 51.370888 0.755410 336.308939 0.774224 121.741127 0.775478 280.582618 0.775616 786.415536 0.845978 105.870579 0.848913 390.425041 0.875273 114.312654
0.14	 0.095690 -204.439691 0.523841 6949.890537 0.577377 -22679.439558 0.588974 483.764166 0.597822 1002.928931 0.604938 1267.638114 0.669917 1960.175863 0.691224 2039.654336 0.753825 334.030812 0.772717 127.279430 0.777427 449.817818 0.778918 1173.128839 0.850698 395.101814 0.877034 121.276635
0.145	 0.099083 -275.899058 0.504049 369.015929 0.521284 7366.855073 0.577744 18767.099325 0.588860 124.972835 0.598187 934.211170 0.605338 1193.280492 0.672263 2061.766879 0.691829 1191.517016 0.694423 186.866265 0.742019 86.725388 0.752245 331.756696 0.771156 126.077808 0.780533 459.427761 0.782199 1301.239799 0.849888 99.969665 0.852495 404.726366 0.878675 134.752469 0.896376 145.460756
