0	 0.569058807140658 0.583937589306796 0.587471396001084 0.593166307823203 0.593410240321369 0.618295358522923 0.685577777505151 0.793562051306315 0.798538044984951 0.807544478088514 0.809596021092675

0.005	 0.569036323017638 0.574849604328341 0.58365341480007 0.587341959457189 0.593200605917093 0.593600599097868 0.618429680118842 0.683330965638413 0.688337245151977 0.788150980044507 0.793361419361593 0.797776284078459 0.807755854895411 0.809486276618525

0.01	 0.568443941812823 0.574265077838379 0.582841820630352 0.587208314746071 0.593239614621516 0.594140742151881 0.61883015752501 0.677550139005662 0.684424632826736 0.690911735784505 0.787586579560087 0.792796077655994 0.795830318127389 0.808344500221419 0.809163082739522 0.838680000875538

0.015	 0.567334418083147 0.57369417255861 0.581604990686837 0.587149309019901 0.58961620141236 0.593305157749199 0.5948444591025 0.619487088002437 0.674498372981198 0.687773650278414 0.791951632901147 0.804344105857089 0.808650223349262 0.809302087242264 0.838592189295605

0.02	 0.565785101095436 0.573280216212496 0.58006236904193 0.587111731769163 0.591513698859644 0.593450432414639 0.595587082686965 0.620384952294934 0.670938901299207 0.67622342335292 0.684591648056137 0.696445558604107 0.786552988204647 0.790892814782485 0.805518280414304 0.808002764809352 0.810448242829283 0.839442482906964

0.025	 0.564205042454138 0.573341552886293 0.578306813607677 0.587435537359988 0.592897987976124 0.596301200136339 0.621503601240773 0.664256934951737 0.785417255943106 0.789672349746365 0.80623831189619 0.80857583368186 0.811756922098727 0.840268352555576

0.03	 0.561816237922792 0.572951219936845 0.576400718244683 0.587186055352711 0.593204423835872 0.596960722951791 0.622818359673925 0.667505327676683 0.685687772772425 0.700045641816761 0.784232345928748 0.78833634193055 0.805506623055099 0.80988058493199 0.813171211454093 0.841378496468236

0.035	 0.55947207467834 0.572934277138816 0.5743828858585 0.587203148087941 0.593344945138401 0.597555568209839 0.62430484833536 0.662148326014534 0.684011817947887 0.782190230570143 0.786920925736541 0.804512952992005 0.814666631866402 0.842465838757137

0.04	 0.557083631215122 0.57228014016951 0.587277230297251 0.593462370707874 0.598087777372044 0.601343954996361 0.62593776483903 0.683889409463944 0.781827770643082 0.785451048559812 0.803365413330624 0.809525073926148 0.816208355925156 0.843671020249436

0.045	 0.554804248603044 0.570109448922211 0.587345135771889 0.59358017689174 0.598565362283185 0.603097713142897 0.627693661960745 0.653911045370189 0.658483500007106 0.685364777156865 0.688466727488367 0.716362819634952 0.777786305990775 0.783939680995882 0.802119824909625 0.817795772021617 0.845049187608214

0.05	 0.552361788291549 0.567884984317936 0.573048920298563 0.587435573110512 0.593705279476973 0.598997057969394 0.605143818242256 0.629551936345313 0.690942570067106 0.718733683286465 0.774726366839678 0.782401700956979 0.800791196138957 0.819414657504118 0.846454389853358

0.055	 0.549988771009462 0.565615706741791 0.58755905606054 0.593839510136869 0.599391672058923 0.607611477286849 0.631493771573589 0.647098282083142 0.68393933802659 0.688124501010855 0.722145470551442 0.775056323814868 0.780845786998211 0.799400955997088 0.821059727081777 0.847914430037337

0.06	 0.547439238775751 0.56330904424685 0.573299906036366 0.587661774769289 0.593984759437601 0.59975716550594 0.610844279113581 0.633502486775228 0.643630907515822 0.685862855684056 0.690541360144888 0.725687841574496 0.772500998636322 0.779271587492889 0.797971232321258 0.822726321601019 0.849459044756542

0.065	 0.0449961058786959 0.545013177362523 0.560970628203527 0.573447832440817 0.587795718521303 0.594140907593809 0.600100496981486 0.611929531147444 0.635558616996341 0.640337874716129 0.643796413777758 0.686257100666429 0.687178663084163 0.728892658517756 0.770106716814436 0.77768899200069 0.796501160899431 0.824409511328865 0.851026680744022

