0	 0.576870 -64.241981 0.584079 5457.137042 0.591853 1126.426367 0.592962 1674.460266 0.618149 1495428.848778 0.684506 346.810525 0.685629 72.743757 0.793225 666.139818 0.797363 305.960174 0.807637 151.903892 0.807987 197.700458
0.005	 0.575069 844.154053 0.583753 6331.348057 0.586768 245.314562 0.592958 1223.611956 0.593156 1837.813095 0.618283 174791.393269 0.677990 921.148365 0.686009 -197.173108 0.793027 654.209620 0.797564 213.043618 0.807937 220.882516
0.01	 0.568182 -28007.640451 0.574048 2254.302635 0.582858 6923.107329 0.586633 249.583188 0.592997 1513.908973 0.593692 1986.452199 0.618682 52912.761415 0.679048 2616.880994 0.684469 690.518067 0.690307 -301.372135 0.792465 623.732565 0.794742 108.359205 0.807708 212.657275 0.808403 232.581336 0.838841 79.976424
0.015	 0.566907 4098.346357 0.573581 1059.706033 0.581545 6375.532579 0.586685 241.852951 0.589564 480.481965 0.593039 1484.746154 0.594396 2303.172238 0.619337 25462.396278 0.679492 77.215941 0.681950 -175.624794 0.791610 585.875975 0.803876 67.381467 0.807216 202.942956 0.809284 243.883485 0.838859 87.348630
0.02	 0.573264 1895.787775 0.579948 5542.269585 0.586720 258.112278 0.591699 303.540692 0.593115 1288.666815 0.595140 2716.524831 0.620232 15489.483866 0.671547 12325.894582 0.678248 183.137399 0.684250 784.343289 0.686550 271.283055 0.700102 -1336.758976 0.790537 544.417074 0.806440 188.158875 0.810384 256.478445 0.839007 85.533301
0.025	 0.563783 592.401480 0.573207 1768.545384 0.578157 4914.606274 0.587122 317.257625 0.593026 1207.345525 0.595858 3227.213418 0.621347 10682.016103 0.666619 1950.834866 0.789308 509.765090 0.805498 190.153317 0.808273 105.084153 0.811668 262.988145 0.840175 82.828848
0.03	 0.576227 4506.714736 0.586807 236.448981 0.593141 1518.971754 0.596520 3911.800267 0.622658 8129.992764 0.663730 -370.650261 0.684624 513.384307 0.787971 481.502563 0.804573 187.441845 0.813059 272.068843 0.841163 84.724709
0.035	 0.574194 4246.503023 0.586803 226.148232 0.593234 1552.292836 0.597117 4750.372894 0.624141 6569.492796 0.667972 171.670353 0.686774 151.735307 0.786558 458.682532 0.803519 181.128437 0.814524 280.141045 0.842300 86.675486
0.04	 0.555678 118.286908 0.572082 4069.324448 0.586890 210.004950 0.593332 1563.946403 0.597652 5832.050453 0.625770 5563.401687 0.655948 307.621444 0.690948 -85.556194 0.785091 440.853300 0.802353 174.539080 0.816050 287.454215 0.843458 88.780654
0.045	 0.569905 3983.468077 0.587014 232.032184 0.593440 1566.757426 0.598133 7245.275719 0.604371 131.369975 0.627522 4887.183162 0.654208 95.061255 0.654477 1479.286238 0.685075 1025.059464 0.688499 386.545408 0.715030 323.652482 0.783585 426.201779 0.801108 168.213996 0.817625 294.207183 0.844838 88.433495
0.05	 0.551673 -2109.830054 0.567676 3934.589171 0.587146 217.449340 0.593558 1574.518454 0.598567 9069.534544 0.629377 4397.543673 0.685392 709.446260 0.719343 531.247225 0.782052 414.347799 0.799792 162.947311 0.819232 300.559039 0.846198 89.991610
0.055	 0.550500 -477.698027 0.565404 3918.499099 0.573000 1352.189913 0.587241 208.186235 0.593688 1580.896454 0.598964 11476.392190 0.631316 4037.259534 0.646576 187.824933 0.685453 222.580813 0.722538 565.834410 0.780500 404.466893 0.798423 158.346461 0.820866 306.516885 0.847637 91.535086
0.06	 0.563096 3930.732097 0.573117 1560.247704 0.587325 211.503111 0.593830 1586.408551 0.599332 14692.329743 0.633323 3760.309797 0.644192 133.398161 0.691689 4687.886447 0.725862 564.158388 0.778932 396.001601 0.797010 154.293812 0.822522 312.222327 0.849143 93.149673
0.065	 0.560757 3965.972403 0.573245 1911.570297 0.587452 216.506265 0.593984 1592.286070 0.599677 19033.328971 0.635382 3540.667564 0.639666 162.447971 0.685912 -726.193207 0.690796 71.904773 0.729003 618.289322 0.777354 388.882598 0.795561 150.547534 0.824196 317.548482 0.850704 94.029228
