freqs:, 1, 0.0, -0.3, 0.0, 0.462733914248343, 0.567250982547223, 0.608173848123516, 0.640282505396432, 0.734525380031146
freqs:, 2, 0.0, -0.294059405940594, 0.0, 0.463211051559451, 0.567849003336884, 0.60767549851876, 0.638903734181543, 0.721904245471112, 0.734868303114904
freqs:, 3, 0.0, -0.288118811881188, 0.0, 0.463693412887546, 0.568452341072954, 0.607171529110193, 0.637540289520825, 0.721473684680678, 0.735234031230959
freqs:, 4, 0.0, -0.282178217821783, 0.0, 0.464180511122821, 0.569060133677098, 0.606662719052505, 0.636193048737734, 0.721039263173863, 0.735602285543988
freqs:, 5, 0.0, -0.276237623762377, 0.0, 0.464671734035186, 0.569671617800235, 0.606149709114422, 0.6348625294255, 0.720601312064175, 0.735972553537296
freqs:, 6, 0.0, -0.270297029702971, 0.0, 0.465166447541645, 0.570286032679807, 0.605633144443675, 0.633549304581436, 0.720157820698693, 0.736344347204622
freqs:, 7, 0.0, -0.264356435643565, 0.0, 0.465664013571868, 0.570902619975471, 0.605113674634527, 0.632253873443496, 0.71971030891859, 0.736717205054798
freqs:, 8, 0.0, -0.258415841584159, 0.0, 0.46616379235219, 0.571520623783543, 0.604591951711718, 0.630976772371919, 0.71925977724019, 0.737090644891248
freqs:, 9, 0.0, -0.252475247524753, 0.0, 0.46666515815028, 0.572139290850936, 0.604068631663619, 0.629718531269755, 0.718806796525751, 0.737464164112391
freqs:, 10, 0.0, -0.246534653465347, 0.0, 0.467167507903221, 0.572757870634548, 0.603544374408676, 0.628479676263289, 0.718351041972421, 0.737837255746325
freqs:, 11, 0.0, -0.240594059405941, 0.0, 0.467670221620487, 0.573375615553563, 0.603019843704479, 0.627260743973178, 0.7178930386243, 0.73820944652625
freqs:, 12, 0.0, -0.234653465346535, 0.0, 0.468173258216996, 0.573991769086042, 0.602495011684348, 0.626062175521163, 0.73858662725319
freqs:, 13, 0.0, -0.228712871287129, 0.0, 0.468674128574872, 0.574605624611172, 0.601972638419448, 0.624884623910925, 0.716895774962092, 0.738949448934923
freqs:, 14, 0.0, -0.222772277227723, 0.0, 0.469174129283041, 0.575216408371961, 0.601451260018066, 0.623728720154831, 0.716526237230364, 0.739315998929837
freqs:, 15, 0.0, -0.216831683168317, 0.0, 0.469671847110704, 0.575823388886223, 0.60093230837792, 0.62259473635696, 0.716071247570494, 0.739679983845212
freqs:, 16, 0.0, -0.210891089108911, 0.0, 0.470166760572257, 0.576425840150055, 0.600416423546389, 0.621483746360857, 0.71561819066583, 0.740040766347366
freqs:, 17, 0.0, -0.204950495049505, 0.0, 0.470658146096764, 0.577023010300196, 0.599904314471758, 0.620394900168511, 0.71516754750527, 0.740397730540515
freqs:, 18, 0.0, -0.199009900990099, 0.0, 0.47114545657901, 0.577614190245517, 0.599396631205028, 0.619330088404771, 0.714719808465671, 0.740750512219583
freqs:, 19, 0.0, -0.193069306930693, 0.0, 0.471627970611179, 0.578198646939347, 0.59889406203797, 0.618289364096105, 0.71427593615252, 0.741098686012004
freqs:, 20, 0.0, -0.187128712871287, 0.0, 0.472105008153482, 0.578775657311104, 0.59839729017959, 0.617273236053953, 0.713836114727673, 0.741441835185912
freqs:, 21, 0.0, -0.181188118811881, 0.0, 0.472575908360085, 0.579344502153217, 0.597906993458036, 0.61628221174975, 0.71340132947398, 0.741779530667527
freqs:, 22, 0.0, -0.175247524752476, 0.0, 0.4730400199948, 0.579904466908947, 0.59742385464144, 0.615316787492667, 0.712972249527345, 0.742111337779276
freqs:, 23, 0.0, -0.16930693069307, 0.0, 0.473496696160731, 0.580454841888612, 0.596948554340092, 0.614377453698258, 0.712549507473279, 0.742436839684061
freqs:, 24, 0.0, -0.163366336633664, 0.0, 0.473945286909959, 0.580994920497674, 0.596481759920532, 0.613464600323532, 0.712132851949758, 0.742755623846126
freqs:, 25, 0.0, -0.157425742574258, 0.0, 0.4743851447226, 0.581524007029356, 0.596024179129279, 0.612579000738131, 0.711724526912815, 0.743067385119169
freqs:, 26, 0.0, -0.151485148514852, 0.0, 0.474815693524057, 0.582041403074936, 0.595576457239927, 0.611720825685434, 0.71132484746124, 0.743371383880905
freqs:, 27, 0.0, -0.145544554455446, 0.0, 0.475236108168602, 0.582546422416074, 0.595139261823917, 0.610890643922374, 0.710932669398238, 0.74366763491055
freqs:, 28, 0.0, -0.13960396039604, 0.0, 0.475645840753036, 0.583038388537428, 0.594713267209195, 0.610088899292971, 0.710551546960754, 0.743955377759264
freqs:, 29, 0.0, -0.133663366336634, 0.0, 0.47604426852235, 0.583516628090278, 0.594299125060123, 0.609316052443114, 0.710180399714632, 0.744234382332338
freqs:, 30, 0.0, -0.127722772277228, 0.0, 0.476430754933665, 0.583980479778209, 0.593897485497858, 0.608572526865512, 0.709819102993047, 0.744504295624052
freqs:, 31, 0.0, -0.121782178217822, 0.0, 0.476804673773456, 0.584429290013946, 0.593508992596179, 0.607858731863634, 0.709469167870006, 0.744764674131753
freqs:, 32, 0.0, -0.115841584158416, 0.0, 0.477165450406901, 0.584862414321454, 0.593134267063333, 0.607175096801093, 0.709131542667023, 0.745015102951264
freqs:, 33, 0.0, -0.10990099009901, 0.0, 0.477512416844185, 0.58527921788065, 0.592773922024351, 0.606522046538003, 0.708806619395969, 0.745255363696041
freqs:, 34, 0.0, -0.103960396039604, 0.0, 0.477845022800849, 0.585679075941832, 0.592428565818615, 0.605899973010299, 0.708494987677056, 0.745485177497571
