freqs:, 1, -0.1, 0.0, 0.0, 0.509329071153094, 0.567682682758073
freqs:, 2, -0.0900000000000001, 0.0, 0.0, 0.512270720753792, 0.539026633167397, 0.564711913850681
freqs:, 3, -0.0800000000000001, 0.0, 0.0, 0.515203668576284, 0.538942476258992, 0.561757376937331
freqs:, 4, -0.0700000000000001, 0.0, 0.0, 0.518128608760042, 0.538867464759259, 0.558815983998426
freqs:, 5, -0.06, 0.0, 0.0, 0.521046242685955, 0.538801869696117, 0.555886059384209
freqs:, 6, -0.05, 0.0, 0.0, 0.523957378935317, 0.538745960062877, 0.552965950763996
freqs:, 7, -0.04, 0.0, 0.0, 0.526862916242805, 0.538699913911946, 0.550054045462599
freqs:, 8, -0.03, 0.0, 0.0, 0.529774898409277, 0.54713332698786
freqs:, 9, -0.02, 0.0, 0.0, 0.532660952053291, 0.538638158885255, 0.544248881572058
freqs:, 10, -0.01, 0.0, 0.0, 0.535531239456538, 0.541372188646496
freqs:, 11, -3.46944695195361e-17, 0.0, 0.0, 0.538298520586284
freqs:, 12, 0.00999999999999997, 0.0, 0.0, 0.535531239486129, 0.54137218864698
freqs:, 13, 0.02, 0.0, 0.0, 0.532660952062523, 0.538638158806206, 0.544248881563841
freqs:, 14, 0.03, 0.0, 0.0, 0.529774900301775, 0.547133322093809
freqs:, 15, 0.04, 0.0, 0.0, 0.526862916258609, 0.538699918540478, 0.550054045448659
freqs:, 16, 0.05, 0.0, 0.0, 0.523957378935207, 0.538745960061656, 0.552965950763913
freqs:, 17, 0.06, 0.0, 0.0, 0.52104624268515, 0.538801869686963, 0.555886059383948
freqs:, 18, 0.07, 0.0, 0.0, 0.518128608760537, 0.538867464688333, 0.558815983998272
freqs:, 19, 0.08, 0.0, 0.0, 0.515203668576283, 0.538942476260262, 0.561757376937325
freqs:, 20, 0.09, 0.0, 0.0, 0.512270720753765, 0.53902663316746, 0.564711913850697
freqs:, 21, 0.1, 0.0, 0.0, 0.509329182725025, 0.539125737951466, 0.567681282809708
